Count,serial,serial_with_random,uuidv4,uuidv4_with_created_at,uuidv7,snowflake
1000000,5298,8861,5311,7001,4197,4023
2000000,5097,9528,5733,7495,4608,4609
3000000,5157,10066,6427,7896,4067,4656
4000000,5026,10320,6799,7626,4153,4716
5000000,5032,10595,6675,8257,4147,4565
6000000,5191,11164,6963,8741,4342,4730
7000000,5082,13044,7304,9453,4356,4746
8000000,5283,14523,8377,9895,4615,4629
9000000,5132,15567,9446,10529,4650,4541
10000000,5360,16782,10375,12739,4385,4643
11000000,5110,17983,11631,12847,4616,4992
12000000,5275,19831,12241,14612,4412,4722
13000000,5494,21760,13285,16295,4496,5179
14000000,5278,24060,15253,16487,4928,5016
15000000,5270,26797,15130,17688,4940,5003
16000000,5326,32990,20932,18926,4495,4732
17000000,5390,29791,18350,23666,4861,5035
18000000,5299,33060,21075,21868,4461,5202
19000000,5155,34302,20917,29592,4659,5390
20000000,5078,40977,27742,31298,5004,5291
21000000,5291,37704,24927,32416,5308,4997
22000000,5273,40933,30159,27430,4712,5282
23000000,5604,38622,27280,32422,5295,4881
24000000,5524,45412,35407,38153,4991,5016
25000000,5322,47619,39139,38731,5116,5439
26000000,5064,42534,30364,33025,4873,5167
27000000,5859,42500,38503,40998,4814,5831
28000000,5505,52350,34775,35178,4534,5032
29000000,5106,44848,39660,36688,4667,5093
30000000,5548,56099,42895,45976,4676,5556
